meta_num,secretaria,tipo,MC,pdm24,fis24,ef24,avfis24,pdm25,fis25,ef25,avfis25,pdm26,fis26,ef26,avfis26,pdm27,fis27,ef27,avfis27,avance_fisico,cumplimiento,aprop24_M,aprop25_M,aprop26_M,aprop27_M
100,FOMENTO,Acumulativo,6000.0,1.5,336.0,22.0%,6.0%,1500.0,1649.0,100.0%,25.0%,1500.0,0.0,0.0%,0.0%,1500.0,0.0,0.0%,0.0%,31.0%,31.0%,5.2,43.0,86.9,48.0
101,FOMENTO,Acumulativo,280.0,80.0,40.0,50.0%,14.0%,60.0,64.0,100.0%,21.0%,70.0,0.0,0.0%,0.0%,70.0,0.0,0.0%,0.0%,36.0%,38.0%,51.4,43.1,60.0,32.0
102,FOMENTO,Acumulativo,1.0,1.0,1.0,100.0%,100.0%,,,,,,,,,,0.0,,,100.0%,100.0%,5.6,0,0,0
103,FOMENTO,Acumulativo,100.0,,,,,50.0,60.0,100.0%,50.0%,,,,,,0.0,,,50.0%,100.0%,0,15.0,0,0
104,FOMENTO,Acumulativo,30.0,,,,,15.0,31.0,100.0%,50.0%,,,,,,0.0,,,50.0%,100.0%,0,20.0,0,0
105,FOMENTO,Acumulativo,2.0,,,,,1.0,1.0,100.0%,50.0%,,,,,,0.0,,,50.0%,100.0%,0,28.2,0,0
106,FOMENTO,No acumulativo,60.0,,,,,60.0,60.0,100.0%,100.0%,,,,,,0.0,,,100.0%,100.0%,0,71.8,0,0
107,FOMENTO,Acumulativo,70000.0,17.5,20000.0,100.0%,25.0%,17500.0,131605.0,100.0%,25.0%,90000.0,0.0,0.0%,0.0%,17500.0,0.0,0.0%,0.0%,50.0%,50.0%,0,70.0,40.0,35.0
108,FOMENTO/EMQUILICHAO,Acumulativo,9000.0,2.25,2250.0,100.0%,25.0%,2250.0,2931.0,100.0%,25.0%,2250.0,0.0,0.0%,0.0%,2250.0,0.0,0.0%,0.0%,50.0%,50.0%,0,0,75.0,50.0
109,FOMENTO/EMQUILICHAO,Acumulativo,4.0,2.0,2.0,100.0%,50.0%,2.0,2.0,100.0%,50.0%,2.0,0.0,0.0%,0.0%,,0.0,,,100.0%,67.0%,0,0,0,0
110,FOMENTO,No acumulativo,1.0,,,,,,,,,1.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,0,0,10.0,0
111,FOMENTO,No acumulativo,1.0,,,,,,,,,,,,,,0.0,,,0.0%,0.0%,0,0,0,0
112,FOMENTO,Acumulativo,2.0,,,,,,,,,,,,,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,151.0
113,FOMENTO,No acumulativo,2.0,,,,,,,,,1.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,0,0,3.0,0
114,OFICINA GESTION DEL RIESGO DE DESASTRES,No acumulativo,1.0,1.0,1.0,100.0%,100.0%,,,,,,,,,,0.0,,,100.0%,100.0%,20.0,0,0,0
115,OFICINA GESTION DEL RIESGO DE DESASTRES,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,75.0%,75.0%,5.0,20.0,35.2,0
116,OFICINA GESTION DEL RIESGO DE DESASTRES,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,20.0,30.0,24.0,28.0
117,OFICINA GESTION DEL RIESGO DE DESASTRES,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,20.0,48.3,22.0,65.0
118,OFICINA GESTION DEL RIESGO DE DESASTRES,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.25,25.0%,6.0%,1.0,0.0,0.0%,0.0%,56.0%,56.0%,23.3,42.2,32.4,50.0
119,OFICINA GESTION DEL RIESGO DE DESASTRES,Acumulativo,600.0,150.0,52.0,35.0%,9.0%,150.0,302.0,100.0%,25.0%,150.0,0.0,0.0%,0.0%,150.0,0.0,0.0%,0.0%,34.0%,34.0%,175.0,241.4,82.0,180.0
120,OFICINA GESTION DEL RIESGO DE DESASTRES,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,75.0%,75.0%,62.1,728.5,680.1,800.0
121,SECRETARIA DE GOBIERNO PAZ Y CONVIVENCIA,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,0.25,0.08,32.0%,2.0%,1.0,0.0,0.0%,0.0%,52.0%,58.0%,1813.8,1910.8,1434.5,372.1
122,SECRETARIA DE GOBIERNO PAZ Y CONVIVENCIA,Acumulativo,13.0,1.0,1.0,100.0%,8.0%,4.0,4.0,100.0%,31.0%,4.0,1.33,33.2%,10.0%,4.0,0.0,0.0%,0.0%,49.0%,58.0%,42.8,114.4,87.3,100.0
123,SECRETARIA DE GOBIERNO PAZ Y CONVIVENCIA,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.33,33.0%,8.0%,1.0,0.0,0.0%,0.0%,58.0%,58.0%,78.0,123.0,46.3,96.5
124,SECRETARIA DE GOBIERNO PAZ Y CONVIVENCIA,No acumulativo,1.0,,,,,1.0,1.0,100.0%,33.0%,1.0,0.33,33.0%,11.0%,1.0,0.0,0.0%,0.0%,44.0%,44.0%,0,105.9,-15.1,679.0
125,SECRETARIA DE GOBIERNO PAZ Y CONVIVENCIA,Acumulativo,9.0,2.0,2.0,100.0%,22.0%,2.0,2.0,100.0%,22.0%,2.0,0.67,33.5%,7.0%,3.0,0.0,0.0%,0.0%,52.0%,58.0%,159.0,255.3,101.4,68.0
126,SECRETARIA DE GOBIERNO PAZ Y CONVIVENCIA,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,2.0,100.0%,25.0%,1.0,0.33,33.0%,8.0%,1.0,0.0,0.0%,0.0%,33.0%,33.0%,12.0,68.3,-19.4,29.3
127,SECRETARIA DE GOBIERNO PAZ Y CONVIVENCIA,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,25.0%,1.0,0.33,33.0%,8.0%,1.0,0.0,0.0%,0.0%,33.0%,33.0%,53.0,50.0,22.7,25.9
128,SECRETARIA DE GOBIERNO PAZ Y CONVIVENCIA,Acumulativo,1200.0,300.0,100.0,33.0%,8.0%,300.0,300.0,100.0%,25.0%,300.0,100.0,33.3%,8.0%,300.0,0.0,0.0%,0.0%,42.0%,42.0%,142.0,137.1,24.6,177.7
129,SECRETARIA HACIENDA,No acumulativo,1.0,,,,,1.0,0.0,0.0%,0.0%,0.75,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,25.0,25.0,25.0
130,SECRETARIA HACIENDA,No acumulativo,3.0,3.0,0.0,0.0%,0.0%,3.0,3.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,3.0,0.0,0.0%,0.0%,25.0%,25.0%,0,20.0,5.0,70.0
131,SECRETARIA HACIENDA,Acumulativo,1000.0,,,,,333.0,0.0,0.0%,0.0%,333.0,0.0,0.0%,0.0%,334.0,0.0,0.0%,0.0%,0.0%,0.0%,0,55.0,70.0,34.0
132,IMDER,No acumulativo,13.0,13.0,13.0,100.0%,25.0%,13.0,13.0,100.0%,25.0%,13.0,13.0,100.0%,25.0%,13.0,0.0,0.0%,0.0%,75.0%,75.0%,452.1,404.9,866.3,1487.1
133,IMDER,Acumulativo,10.0,1.0,1.0,100.0%,10.0%,3.0,4.0,100.0%,30.0%,3.0,1.0,33.3%,10.0%,3.0,0.0,0.0%,0.0%,50.0%,58.0%,300.0,0,11.9,129.5
134,IMDER,Acumulativo,20.0,3.0,3.0,100.0%,15.0%,5.0,5.0,100.0%,25.0%,6.0,0.0,0.0%,0.0%,6.0,0.0,0.0%,0.0%,40.0%,50.0%,0,0,46.8,10.5
135,IMDER,Acumulativo,40000.0,10.0,1234.0,12.0%,3.0%,10000.0,10000.0,100.0%,25.0%,10000.0,843.0,8.4%,2.0%,10000.0,0.0,0.0%,0.0%,30.0%,30.0%,329.2,360.9,309.0,446.4
136,IMDER,No acumulativo,1.0,1.0,,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,60.0,39.1,30.0,43.0
137,IMDER,Acumulativo,20.0,3.0,7.0,100.0%,15.0%,5.0,7.0,100.0%,25.0%,6.0,0.0,0.0%,0.0%,6.0,0.0,0.0%,0.0%,40.0%,50.0%,40.0,0,75.0,85.0
138,IMDER,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,0,0,15.0,33.0
139,IMDER,No acumulativo,7.0,7.0,7.0,100.0%,25.0%,7.0,7.0,100.0%,25.0%,7.0,7.0,100.0%,25.0%,7.0,0.0,0.0%,0.0%,75.0%,75.0%,206.1,185.7,308.4,133.0
140,IMDER,Acumulativo,3.0,1.0,,100.0%,33.0%,1.0,1.0,100.0%,33.0%,1.0,0.0,0.0%,0.0%,,0.0,,,67.0%,67.0%,16.0,11.1,0,209.0
141,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,Acumulativo,600.0,150.0,150.0,100.0%,25.0%,150.0,150.0,100.0%,25.0%,150.0,28.0,18.7%,5.0%,150.0,0.0,0.0%,0.0%,55.0%,55.0%,1420.9,1705.5,1250.0,4879.1
142,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,Acumulativo,8.0,2.0,1.0,50.0%,13.0%,2.0,3.0,100.0%,25.0%,2.5,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,38.0%,38.0%,1973.3,2568.9,900.0,2100.0
143,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,Acumulativo,5.0,1.0,1.0,100.0%,20.0%,1.0,0.0,0.0%,0.0%,,,,,2.5,0.0,0.0%,0.0%,20.0%,33.0%,90.1,1108.9,0,1200.0
144,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,No acumulativo,2.0,2.0,1.0,50.0%,50.0%,,,,,,,,,,0.0,,,50.0%,50.0%,200.0,200.0,0,0
145,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,No acumulativo,4.0,4.0,4.0,100.0%,100.0%,,,,,,,,,,0.0,,,100.0%,100.0%,0,0,0,0
146,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,Acumulativo,100.0,10.0,,100.0%,10.0%,10.0,20.0,100.0%,10.0%,40.0,0.0,0.0%,0.0%,40.0,0.0,0.0%,0.0%,20.0%,50.0%,0,45.5,110.0,530.0
147,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,Acumulativo,7000.0,1.75,1750.0,100.0%,25.0%,1750.0,2244.0,100.0%,25.0%,175.0,103.0,58.9%,1.0%,1750.0,0.0,0.0%,0.0%,51.0%,65.0%,410.0,2534.7,16075.0,520.0
149,SECRETARIA DE MOVILIDAD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,2.0,100.0%,25.0%,2.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,91.0,60.0,65.0,37.0
150,SECRETARIA DE MOVILIDAD,No acumulativo,1.0,,,,,1.0,1.0,100.0%,100.0%,,,,,,0.0,,,100.0%,100.0%,120.0,415.8,0,12.0
151,SECRETARIA DE MOVILIDAD,Acumulativo,3.0,,,,,1.0,2.0,100.0%,33.0%,,,,,1.0,0.0,0.0%,0.0%,33.0%,50.0%,0,55.0,0,7.0
152,SECRETARIA DE MOVILIDAD,Acumulativo,120.0,,,,,60.0,0.0,0.0%,0.0%,,,,,,0.0,,,0.0%,0.0%,0,50.0,0,0
153,SECRETARIA DE MOVILIDAD,Acumulativo,1000.0,250.0,250.0,100.0%,25.0%,250.0,250.0,100.0%,25.0%,250.0,1600.0,100.0%,25.0%,250.0,0.0,0.0%,0.0%,75.0%,75.0%,429.6,564.2,914.6,1385.0
154,SECRETARIA DE MOVILIDAD,Acumulativo,5000.0,1.25,1000.0,80.0%,20.0%,1250.0,250.0,20.0%,5.0%,2250.0,87.22,3.9%,2.0%,1250.0,0.0,0.0%,0.0%,27.0%,26.0%,434.4,322.9,330.2,118.0
155,SECRETARIA DE MOVILIDAD,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,33.0%,,,,,1.0,0.0,0.0%,0.0%,33.0%,33.0%,302.2,283.1,0,150.0
156,SPOTV,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,33.0%,1.0,0.21,21.0%,7.0%,,0.0,,,40.0%,40.0%,359.0,521.9,106.0,0
157,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,33.0%,1.0,0.0,0.0%,0.0%,,0.0,,,33.0%,33.0%,228.2,232.2,220.0,10.0
158,SPOTV,Acumulativo,3000.0,1.8,1000.0,56.0%,33.0%,400.0,400.0,100.0%,13.0%,1000.0,0.0,0.0%,0.0%,400.0,0.0,0.0%,0.0%,47.0%,39.0%,67.0,44.3,60.0,103.0
159,SPOTV,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,1.0,0.21,21.0%,7.0%,,0.0,,,7.0%,7.0%,0,50.0,108.4,0
160,SPOTV,No acumulativo,1.0,,,,,,,,,,,,,,0.0,,,0.0%,0.0%,0,0,0,0
161,FOMENTO,Acumulativo,5.0,,,,,2.0,0.0,0.0%,0.0%,,,,,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,40.0
162,FOMENTO,Acumulativo,8.0,1.0,1.0,100.0%,13.0%,3.0,3.0,100.0%,38.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,400.0,340.0,4004.4,1700.0
163,DIRECCIÓN DE AGUAS,Acumulativo,54000.0,13.5,13500.0,100.0%,25.0%,13500.0,13500.0,100.0%,25.0%,13500.0,0.0,0.0%,0.0%,13500.0,0.0,0.0%,0.0%,50.0%,50.0%,1480.8,1622.6,1658.8,1159.6
164,DIRECCIÓN DE AGUAS,Acumulativo,40.0,,,,,20.0,0.0,0.0%,0.0%,20.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,0,0,805.4,0
165,DIRECCIÓN DE AGUAS,No acumulativo,2.0,,,,,2.0,0.0,0.0%,0.0%,,,,,,0.0,,,0.0%,0.0%,2214.8,1680.0,0,0
166,DIRECCIÓN DE AGUAS,Acumulativo,50000.0,12.5,12500.0,100.0%,25.0%,12500.0,12500.0,100.0%,25.0%,12500.0,0.0,0.0%,0.0%,12500.0,0.0,0.0%,0.0%,50.0%,50.0%,1320.0,1530.9,1601.3,1530.9
167,SPOTV,Acumulativo,1.0,0.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,0.3,0.0,0.0%,0.0%,0.0%,0.0%,600.0,600.0,0,10.0
168,SPOTV,Acumulativo,3.0,,,,,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,0,0,40.0,0
169,DIRECCIÓN DE AGUAS,No acumulativo,1.0,,,,,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,0,221.5,679.8,0
170,SPOTV / EMQUILICHAO,No acumulativo,1.0,,,,,,,,,,,,,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,10.0
172,DIRECCIÓN DE AGUAS,No acumulativo,1.0,,,,,,,,,1.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,0,472.7,0,0
173,DIRECCIÓN DE AGUAS,No acumulativo,1.0,,,,,,,,,1.0,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,0,0,0,0
174,DIRECCIÓN DE AGUAS,No acumulativo,1.0,,,,,,,,,,,,,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,4500.0
175,DIRECCIÓN DE AGUAS,Acumulativo,2.0,1.0,1.0,100.0%,50.0%,1.0,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,,0.0,,,50.0%,33.0%,0,0,7318.3,0
176,DIRECCIÓN DE AGUAS,Acumulativo,3000.0,2.0,2000.0,100.0%,67.0%,1000.0,1998.0,100.0%,33.0%,1000.0,0.0,0.0%,0.0%,,0.0,,,100.0%,67.0%,0,0,0,0
177,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.09,9.0%,2.0%,1.0,0.0,0.0%,0.0%,52.0%,52.0%,110038.9,116547.6,119638.3,120595.8
178,SECRETARÍA LOCAL DE SALUD,No acumulativo,1.0,,,,,,,,,,,,,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,0
179,SECRETARÍA LOCAL DE SALUD,Acumulativo,72.0,18.0,18.0,100.0%,25.0%,18.0,18.0,100.0%,25.0%,18.0,4.63,25.7%,6.0%,18.0,0.0,0.0%,0.0%,56.0%,56.0%,44.6,45.3,53.0,50.6
180,SECRETARÍA LOCAL DE SALUD,Acumulativo,600.0,150.0,150.0,100.0%,25.0%,150.0,348.0,100.0%,25.0%,150.0,38.0,25.3%,6.0%,150.0,0.0,0.0%,0.0%,56.0%,56.0%,107.0,104.7,106.9,27.1
181,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,649.0,877.1,1150.1,47.9
182,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,215.1,360.0,295.3,495.7
183,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,304.8,520.3,359.9,255.7
184,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,116.3,95.1,103.4,189.0
185,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,139.7,119.3,105.6,225.7
186,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,437.4,415.8,393.7,581.0
187,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,218.6,272.3,227.2,185.1
188,SECRETARÍA LOCAL DE SALUD,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,136.6,133.5,49.3,50.6
189,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.27,27.0%,7.0%,1.0,0.0,0.0%,0.0%,57.0%,57.0%,117.0,205.8,204.2,139.8
190,SECRETARÍA LOCAL DE SALUD,Acumulativo,100.0,25.0,64.0,100.0%,25.0%,25.0,19.0,76.0%,19.0%,10.0,0.45,4.5%,0.0%,25.0,0.0,0.0%,0.0%,44.0%,45.0%,217.6,386.7,807.3,187.9
191,SECRETARÍA LOCAL DE SALUD,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.18,18.0%,5.0%,1.0,0.0,0.0%,0.0%,55.0%,55.0%,494.8,121.9,155.4,180.0
193,SECRETARIA PRIVADA,No acumulativo,1.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,25.0%,1.0,0.068,6.8%,2.0%,1.0,0.0,0.0%,0.0%,27.0%,27.0%,180.0,270.0,327.8,220.0
194,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,Acumulativo,1500.0,375.0,0.0,0.0%,0.0%,375.0,375.0,100.0%,25.0%,375.0,25.0,6.7%,2.0%,375.0,0.0,0.0%,0.0%,27.0%,27.0%,629.3,734.0,1211.8,353.1
195,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,Acumulativo,800.0,800.0,748.0,94.0%,94.0%,672.0,200.0,30.0%,25.0%,200.0,0.0,0.0%,0.0%,,0.0,,,119.0%,41.0%,7404.7,10251.9,134.3,0
196,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,Acumulativo,800.0,800.0,410.0,51.0%,51.0%,672.0,500.0,74.0%,63.0%,474.0,0.0,0.0%,0.0%,,0.0,,,114.0%,42.0%,0,636.2,17441.0,1500.0
197,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,Acumulativo,800.0,1.0,1.0,100.0%,0.0%,500.0,500.0,100.0%,63.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,63.0%,50.0%,1.0,82.0,141.2,85.8
198,FOMENTO,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,24.0,28.0,28.0,25.0
199,FOMENTO,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,17.0,31.0,31.9,20.0
200,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,No acumulativo,1.0,,,,,,,,,,,,,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,1.0
201,DIRECCIÓN TÉCNICA DE VIVIENDA Y HÁBITAT,Acumulativo,250.0,34.0,1.0,3.0%,0.0%,,,,,108.0,0.0,0.0%,0.0%,108.0,0.0,0.0%,0.0%,0.0%,1.0%,36.4,0,162.0,162.0
202,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,40.0,40.0,3.0,8.0%,8.0%,,,,,,,,,,0.0,,,8.0%,8.0%,319.1,0,0,0
203,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,No acumulativo,3.0,3.0,3.0,100.0%,25.0%,3.0,2.0,67.0%,17.0%,3.0,0.0,0.0%,0.0%,3.0,0.0,0.0%,0.0%,42.0%,42.0%,0,50.0,45.0,50.0
204,SECRETARÍA LOCAL DE SALUD,Acumulativo,2.0,,,,,,,,,1.0,,100.0%,50.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,0,0,0,0
205,SECRETARIA DE INFRAESTRUCTURA Y EQUIPAMIENTO MUNICIPAL,Acumulativo,5.0,,,,,,,,,4.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,0
206,DIRECCION DE CULTURA,Acumulativo,5.0,,,,,,,,,3.0,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,0.0%,0.0%,0,0,0,0
207,SECRETARIA DE MOVILIDAD,Acumulativo,7.0,,,,,,,,,4.0,0.0,,,3.0,0.0,,,,,0,0,0,0
